Name of Author,Type of Content,Sample Content
Richard van der Blom,LinkedIn Post,"Infographic created and shared yesterday by (soon to be a dad) Jay Clouse.
Simply to good not to share here in my own feed.

Based on a podcast interview we had a few months ago (check the link in the comments).

If you don't want to miss out on my gems of wisdom, you have a few options:

1. 𝗙𝗼𝗹𝗹𝗼𝘄 𝗺𝗲: A good start to being awesome.
2. 𝗥𝗶𝗻𝗴 𝘁𝗵𝗲 𝗕𝗲𝗹𝗹 𝗼𝗻 𝗺𝘆 𝗣𝗿𝗼𝗳𝗶𝗹𝗲: Although not very reliable lately
3. 𝗦𝗶𝗴𝗻 𝘂𝗽 𝗳𝗼𝗿 𝗺𝘆 𝗯𝗶-𝘄𝗲𝗲𝗸𝗹𝘆 𝗲𝗺𝗮𝗶𝗹 𝗻𝗲𝘄𝘀𝗹𝗲𝘁𝘁𝗲𝗿: The link is at the top of my profile. Your inbox will thank you.
4. 𝗚𝗲𝘁 𝗺𝘆 𝗖𝗼𝗻𝘁𝗲𝗻𝘁 𝗧𝗼𝗼𝗹𝗸𝗶𝘁: +120 content pieces and insights that will keep growing until the end of the year. Link in my Featured Section. Yes, it's that good. (link in my Featured Section)
5. 𝗕𝗼𝗼𝗸 𝘆𝗼𝘂𝗿 𝟭-𝗼𝗻-𝟭 𝗩𝗜𝗣 𝗣𝗼𝘄𝗲𝗿 𝗖𝗮𝗹𝗹 60 minutes to pick my brain for all the answers (link in my Featured Section)

Also, you'll be one of the first to get our soon-to-be-released update of the Algorithm Report 2024. Be ahead of the curve or forever play catch-up! 

Anything I missed?

PS: Which part of this infographic makes you really go bananas 🍌 ?"
Richard van der Blom,LinkedIn Post,"Introducing: LinkedIn™'s Weekly Activity Tracker

How Posts, Comments and ..... tadaah 💥 Contributions

The Weekly sharing Tracker can be found in your Analytics part.

It shows you:

• how many Posts have you published
• how many comments have you left on OTHER posts
• how many contributions have you made on Collaborative Articles

At first I thought ""Yet another funny attempt to boost engagement on Collaborative Articles and fill their database of content.

But then I thought ""But what if LinkedIn™ would reward your contributions with more organic reach""

So, I decided to start a test.

Since yesterday I leave +5 contributions to Collaborative Articles, not to obtain the badge but to see the impact on my organic reach.

PS: What do you think? Ready to test with me?"
Richard van der Blom,LinkedIn Post,"If you are a parent, could you do me one favour today?
Give your kid a hug, a big kiss, and tell him (s)he is special to you.
For all those people who will never be able to have kids...

Yesterday we lost another pregnancy. A second miscarriage, unexpected but as painful as the first.

Every now and then your kid might be bad, might cause trouble, might cost a lot of energy, or do things you don't like. But never forget the joy they bring, your own flesh and blood growing up beside you in a loving relationship.

Cherish every moment, even the tough ones. Because those moments are gifts. They are fleeting, precious fragments of time that some of us may never get to experience.

For those struggling with loss or the inability to have children, share your pain so your grief is understood, and your strength is admired. 

You are not alone.

And to all the parents out there, hug your little ones a little tighter tonight. They are your miracles. 

Share your love, show your gratitude, and appreciate the gift of parenthood, even in the chaos. Because in the end, it's all worth it.

We'll be alright
🙏"
Richard van der Blom,LinkedIn Post,"THOUGHT LEADERSHIP IS DEAD! 

Or at least, the term is on life support, hijacked by coaches, C-level execs and business owners who think optimizing their profiles in 30 minutes and churning out three posts a week qualifies them as ""thought leaders."" It doesn't.

Fact Check:
Thought Leadership isn't just a trendy buzzword; it’s a profound responsibility. 

According to Forbes, 
""Thought leaders are the informed opinion leaders and the go-to people in their field of expertise. They are trusted sources who move and inspire people with innovative ideas; turn ideas into reality, and know and show how to replicate their success.""

True Thought Leadership is about igniting minds and enlightening communities. It's about more than just sharing expertise—it's about motivating, guiding, and inspiring people to take meaningful action. True thought leaders build a trusted follower base, not through flashy posts but through genuine, consistent engagement and impactful insights.

Here's how real Thought Leaders differ from the impostors:

- 𝗧𝗵𝗲𝘆 𝗠𝗼𝘁𝗶𝘃𝗮𝘁𝗲: They push others to strive for greatness, not just within their industry but within their personal growth.
- 𝗧𝗵𝗲𝘆 𝗚𝘂𝗶𝗱𝗲: They provide actionable advice and support, helping others navigate their professional paths.
- 𝗧𝗵𝗲𝘆 𝗜𝗻𝘀𝗽𝗶𝗿𝗲: Their words and actions lead to transformative changes and innovations.
- 𝗧𝗵𝗲𝘆 𝗕𝘂𝗶𝗹𝗱 𝗧𝗿𝘂𝘀𝘁: They cultivate a community that values their insights and follows their lead, not out of obligation but out of genuine respect and trust.

Look at the image below. Thought Leadership is the spark that ignites the fire of enlightenment. It's about lighting the way for others, not just highlighting oneself.

And all the others?
They might be experts,
They might be brand ambassadors
But Thought Leader is something you need to earn

How do you notice when people start identifying you as a Thought Leader on LinkedIn?

• increased mentions
• increased reposts from your content
• increased direct messages about your expertise

PS: What's your take on the term Thought Leadership?"
Richard van der Blom,LinkedIn Post,"Consistency Isn't About Posting Every Day—It's About Creativity and Quality! 

Think consistency means posting every day at 9 AM sharp or commenting on 20 posts daily? Think again! True consistency lies in being creative, pushing your boundaries, and continuously analyzing your impact.

Here's why this kind of consistency is your golden ticket to LinkedIn success:

1. Creativity Rules: Stop being a content robot. It's not about churning out posts but crafting ones that stand out and resonate.
2. Find your Own Tone of Voice: highlighting successes or approaches from other creators? It may seem cool, but doesn't lead to positioning yourself.
3. Step Up Your Game: Always look for ways to improve. The same old strategies won't get you new results. Challenge yourself to innovate.
4. Analyze, Adjust, Repeat: Consistency in reviewing your performance and tweaking your strategy is key. What's working? What’s not? Make data-driven decisions to refine your approach.
 

Need inspiration? Check out these 20 content ideas to humanize your LinkedIn page—because it’s not just about consistency, it’s about consistently being exceptional

So, ditch the rigid posting schedules and embrace the power of consistent creativity and quality! Your LinkedIn game will thank you, thank me later.

PS: What Tip do you Like the most?

📥 save this infographic for inspiration
💬 comment with a LinkedIn tip
♻️ repost for more visibility"
Richard van der Blom,LinkedIn Post,"Want to successfully grow your business? Then Focus on what matters!
88% of business growth hinges on prioritizing cash flow. Are you ready to make the right moves?

Check out this carousel to discover the ultimate priorities for your business success without giving away too much right here.

You have 3 minutes left in your working day, what's it gonna be?
- Creating a proposal or sending out an invoice?
- Drafting another content post or sending out 3 direct messages?
- Reviewing analytics or brainstorming new product ideas?

Your move:
- Following up on a lead or attending a non-essential meeting?
- Engaging with clients or reorganizing your desk?
- Setting revenue goals or tweaking your logo design?

Check out the carousel for some relevant insights and start implementing them as soon as possible. Thank me later! 

What priority will you change today to skyrocket your business? Drop your thoughts in the comments! 👇

PS: Want to know my secret when it comes to doubling your cash flow?"
Richard van der Blom,LinkedIn Post,"9 Types of Clients You Should Fire Today (Even if They Bring in Big Bucks)

Last week, I walked away from a $100k annual deal. Crazy? Maybe. But it was the best decision I've made all year. Here’s why:

We've all had that client—the one who makes you rethink your entire career every time their number flashes on your phone.

Not all money is worth the headache. Sometimes, the stress and chaos of dealing with a difficult client simply aren’t worth the paycheck.

So, let’s uncover the 9 types of clients you should have broken up with yesterday. Ready for a laugh (and maybe a reality check)?

My all-time favorite (with a healthy dose of sarcasm) is on slide 10.

But don’t worry, I've also included 6 signs you’re working with the right clients.

My top picks are on slide 15.

The Rogue's Gallery: 9 Clients to Ditch Now

1. The Ghost: Disappears without a trace, leaving you in the lurch just when you need their input the most.
2. The Micromanager: Hires you for your expertise but insists on looking over your shoulder every step of the way.
3. The Non-Payer: Always has a reason why this month’s payment is delayed. Spoiler: it never gets better.
4. The Scope Creeper: Constantly asking for ""just one more thing""—without ever wanting to pay for the extra work.
5. The Indecisive: Changes their mind more often than their socks, causing endless revisions and headaches.
6. The Abuser: Thinks that because they pay you, they own you. Hint: they don't.
7. The Know-It-All: Hired you for your expertise but insists they know better. Why did they hire you again?
8. The Freebie Seeker: Always pushing for discounts, freebies, and ""just a little help"" on the side.
9. The Mismatched Values: Their business practices or values clash with yours, making every interaction uncomfortable.

Laugh, cringe, or maybe even cry a little. But seriously, it's time to re-evaluate. Bad clients don’t just drain your energy—they can also drag your business down.
Remember they should pay you for your unique expertise, not to manage you!

And to balance things out, I’ve shared 6 signs that you’re working with the right clients—those gems that make work feel like a joyride.

Useful? [ repost ♻️] to help me share more insights
Have thoughts? [ comment 💬] to deepen the discussion
Don't care that much? At least give it a [ like ] 👍"
Peter Sorgenfrei,LinkedIn Post,"🚧 90% of startups fail. And for every startup that fails, a founder suffers.
And even those that succeed have founders that struggle.

A recent study of 250 entrepreneurs found that:
🔻 30% were dealing with depression
🔻 72% suffered from mental health problems

According to Kavedon Kapital, founders are:
🔸 2x more likely to suffer from depression and suicidal thoughts
🔸 3x more likely to suffer from substance abuse
🔸 10x more likely to suffer from bipolar disorder
🔸 6x more likely to suffer from ADHD

These are scary numbers. Being a founder is hard.
But a lot of founders end up this way because they don’t talk to anyone about it.

Founders, asking for help is one of the bravest things you can do.

Asking for help makes you vulnerable but it doesn’t make you weak.
It lets you be honest with your emotions but it’s not a sign of weakness.

Instead of always saying “we’re crushing it”

You’ll be surprised how much better you feel talking to people about the struggles you’re facing.

You’ll be surprised how many other founders and mentors are willing to listen.

I’ve been there and I know what it’s like.
So if you’re struggling, I’d be happy to help.

If you have tips for dealing with founder stress, please share them in the comments ⬇

hashtag#sorgenfrei hashtag#wholehumanapproach hashtag#business hashtag#startups hashtag#leadership"
Peter Sorgenfrei,LinkedIn Post,"💰 How Startup Funding Works
+The Emotional Phases and Ways to Deal With Them

Raising funds and pitching to investors is all about answering:

What does the company do?
What makes it special/unique in some way?
Why is now the time to launch/scale it?
What will it take to succeed?
How big can it grow?
Who are you and your co-founders?

Sounds simple enough.

But for every pitch, every stage, every round, every rejection, and every success…

There is an emotional rollercoaster that founders need to go through.

1️⃣ Anxiety
It’s easy to get overwhelmed by the 100 things you need to do before you pitch. Anxiety can creep in when you don’t have anyone else to rely on with these things. Get someone you trust to help you.

2️⃣ Exhilaration
It’s good to get excited when meeting investors. But don’t expect them to be on board right away. It’ll take more than a few meetings to successfully convince an investor.

3️⃣ Disappointment
It’s always hard to find out they’re not interested to invest. Don’t take it personally. Sometimes, the fund and your startup were just not a good fit. Always call to ask why they rejected you.

4️⃣ Hope
All it takes is one to say yes. So you keep moving from one investor to the next. But also remember to nurture and build these relationships. You never know when they could help you in the future.

5️⃣ Optimism
There’s nothing quite like closing a round and holding that term sheet ready to be signed. But don't jump the gun and spend on offices and new hires without it being a done deal. Also, remember the money is only there to help you grow; you still need to do the hard work to get it done right.

My advice 👉 Before you go raise money, please make sure you have:
✔ Love at home.
✔ Good health and lifestyle.
✔ Time to do what matters most.

Compared to love, health, and time, money has very limited value.

hashtag#sorgenfrei hashtag#wholehumanapproach hashtag#business hashtag#startups hashtag#leadership"
Peter Sorgenfrei,LinkedIn Post,"Don't water dead plants. 
 
This idea might seem obvious in your house, but for some reason, many people continue doing it in their businesses. 
 
Of course, you realize that I’m not literally talking about plants, but rather elements of your company that it’s time to say goodbye to. 
 
Most of us are aware of the fallacy of sunk cost, a cognitive bias that occurs when people make decisions based on the amount of time, money, or resources they have already invested in a particular endeavor, rather than considering the current circumstances and future prospects. 
 
The fallacy is that we believe that because we have already invested significant resources in something, we should continue doing it to justify or recoup our initial investment, even if it no longer makes rational sense to do so. 
 
But to do so is to look at the past rather than the future. 
 
In my work with CEOs, I’ve seen two types of dead plants that continue to get watered. 
 
First, there are people. I’ve always believed you should hire slowly and fire quickly. 
 
Harsh? Not really. If you’ve done all you can to help improve a poor performer, it’s time to let them go - for your sake and theirs. 
 
If you allow incompetence to exist in your company, it quickly becomes noticed - and others think it’s acceptable. Nip it in the bud. 
 
The second dead plant I’ve seen are ideas. We have a (natural!) tendency to fall in love with our own ideas and hold onto them with a death grip. 
 
But prying yourself loose from ideas whose time has passed is incredibly liberating and will open your mind to new possibilities. 
 
Sometimes, you just need some new plants."
Peter Sorgenfrei,LinkedIn Post,"When I’m at my best, 50% of my time is unscheduled.” - Steve Jobs

According to Y Combinator, there are 3 phases in a CEO’s role.

Phase 1️⃣: Build a great product people love
Phase 2️⃣: Scale by delegation
Phase 3️⃣: Maximize profits

The second phase is arguably the hardest one for a leader.
It’s where the most confusion and friction occurs.

Once a company has over 20-30 employees, a CEO must transition from a doer to a leader.

And the best way to do that is through Purpose and Alignment.

You need to be able to define and codify your Mission, Strategy, and Metrics in a way that’s clear, simple, and inspiring.

Your mission should feel ambitious and permanent.
Your product strategy and GTM strategy should be relevant and updated.
Your metrics should be directly actionable and drives top-line business results.

Now, going back to what Steve Jobs said…

In order to clearly define these things, you need to take a step back.

Having a lot of unscheduled think time is perhaps the clearest sign of success for a Phase 2 CEO.

Because you need TIME to think and plan the future of your startup.

hashtag#leadership hashtag#leadershipdevelopment hashtag#CEO hashtag#founders

Sorgenfrei - Trusted by Founders and CEOs to make them more productive and balanced."
Peter Sorgenfrei,LinkedIn Post,"What Should Be Derisked at Each Funding Stage?

Fundraising stages are not just about the capital. They’re about risk.
Understanding these risks will help you thrive at each stage of your startup.

🚧 Pre-Seed

At this stage, you’re typically not generating revenue. So you need to understand the risks involved with product development and technical debt. Are you optimizing your costs as you build an MVP?

🚧 Seed

At this stage, you need to find your first customers. Who are they and are they willing to pay for your product and service? Investors will wonder if your market is even big enough to generate healthy returns.

🚧 Series A

At this stage, you need a reliable, predictable way of pouring money into customer acquisition. You need an effective go-to-market strategy that can capture your ideal customer segments. 

🚧 Series B

From this point onwards, it’s going to be a high-speed race. A race to capture the most share in the market against bigger competitors. Are you able to expand, scale, and grow to optimize your target market?

🚧 Series C+

This is where founders are tested and turned into strong leaders. Are you able to build a startup culture that can support hundreds of employees? Are you able to maintain the core values you had when there were only a handful in the startup? 

As you move up the fundraising stages, you'll discover the new risks that come with growing your startup.

What most founders realize (sometimes too late) is that they can’t do it alone.

You need a mentor or advisor to help you successfully navigate your startup journey.

hashtag#leadership hashtag#leadershipdevelopment hashtag#CEO hashtag#founders

Sorgenfrei - the trusted advisor of Founders and CEOs globally.
➕ Follow me to learn why."
Peter Sorgenfrei,LinkedIn Post,"🛠 How to Set Up, Hire, and Scale a Growth Strategy and Team
Strategies from Facebook, Airbnb, Uber, Slack, and Instagram.

Reading up on Y Combinator, I found out they have:
Funded over 3,500 startups.
With a combined valuation nearing $1T.
And they nurture a community of over 9,000 founders.

I found their amazing guide for founders looking to set up a growth strategy and team.

It covers:
🔹 When to invest in growth
🔹 Good retention & bad retention
🔹 When to hire your initial growth team
🔹 Your growth team's first year
🔹 Where should the growth team sit?

It’s a great read for startups in the early stage looking to scale.

Here’s my advice for building teams like these:

💡 Consistency
Empower your team with the systems to consistently deliver results.

💡 Resiliency
Instill the mindset to find a way even when things don’t go their way.

💡 Vibrancy
Encourage your team to be intentional and helpful in how they communicate and work well with each other.

I believe these three things are what make a successful team.

What are your top 3 values of successful teams? 💭

hashtag#sorgenfrei hashtag#wholehumanapproach hashtag#business hashtag#startups hashtag#leadership"
Peter Sorgenfrei,LinkedIn Post,"📈 The Founder’s Journey 📉

Most founders dream of building a 7 to 8-figure business.
Only to find out that they’re stuck.
No time. No money. No life.

👉 The hard truth for most successful founders is that they had to sacrifice a great deal to take their ventures to the next level. 

Building a company is a lot like surfing. 🏄‍♂️
You need to practice a lot to succeed.
You will certainly fall down A LOT.
Until the magic happens.

The wave, the timing, and the balance are just right.
Once your company succeeds, it’s like nothing you’ve ever experienced.
But getting there will always require a lot of falling down and getting back up.

⚠ This is mostly because founders find themselves doing almost everything.

It’s easy to fall into the trap of wanting to do everything.
For most, it becomes a habit that’s hard to break.
So picking what you need to work on is key.

Like what Alan Watts said, “The menu is not the meal.”

hashtag#sorgenfrei hashtag#wholehumanapproach hashtag#founder hashtag#startup hashtag#leadership"
Peter Sorgenfrei,LinkedIn Post,"Your Comprehensive Guide to 𝐅𝐨𝐮𝐧𝐝𝐞𝐫𝐬’ 𝐀𝐠𝐫𝐞𝐞𝐦𝐞𝐧𝐭𝐬
Why you need them and what to include ↓

One of the top reasons startups fail is co-founder fallout.

Before you start any company with anyone, please have everything in writing.

It doesn’t matter if they’re your best friend(s).

They won’t be when you disagree on:
⚠ Profit distribution
⚠ Ownership percentages
⚠ Decision-making authority

A founders’ agreement can protect you and the business from crumbling in the future.

Here’s what you should include:
• Roles and responsibilities to the company
• Equity compensation and vesting
• Salary and working schedule
• Founder restrictions
• Intellectual property, moral rights, and non-infringement
• Confidential information
• Data Protection
• Termination and resignation

The key is to map out how the company is run and what actions you can take if a co-founder isn’t acting in the company’s best interests.

It’s easy to get caught up in the excitement and hustle of starting a new venture.

That’s okay! But be sure to have safeguards in place in case anything happens.

You can use and tweak the Founders’ Agreement template below by enlarging the image and clicking the download icon in the upper-right corner.

—

Join 8000+ CEOs & Founders on their journey to become the best versions of themselves:
https://inle.beehiiv.com/ 🙌
"
Peter Sorgenfrei,LinkedIn Post,"75 Startup and VC Terms for 𝐄𝐯𝐞𝐫𝐲 𝐅𝐮𝐧𝐝𝐢𝐧𝐠 𝐒𝐭𝐚𝐠𝐞

Knowing startup lingo can help you:
✔ Negotiate better terms
✔ Avoid getting blindsided and confused
✔ Improve your confidence when pitching
✔ Convince investors you’ve done your research

Every funding stage involves new terms to familiarize with.

In Seed, we have:
• Convertible Notes
• Equity Financing
• Debt Financing
• CAC

In Series A, you’ll start to hear:
• Liquidation
• Preferred Stock
• Common Stock
• Venture Debt

In Series B and beyond, you should know:
• Drag-along Rights
• Pro-rata Rights
• Mezzanine Financing
• Bridge Financing

Sharing more terms and their definitions in the resource below.

It covers terms for the following stages:
→ Ideation, Pre-Seed, Seed, Series A, Series B+, and Going Public

It’s best to review them before a pitch or an important meeting.

Join 7500+ of my closest friends and subscribe to Intentional Leadership: https://inle.beehiiv.com/ 🙌

hashtag#sorgenfrei hashtag#wholehumanapproach hashtag#business hashtag#startups hashtag#leadership

Source: Embroker"
